company,complaint_count
BEACON FINANCIAL CORPORATION,20
Rosenberg & Associates Recovery Services,20
BOK FINANCIAL CORP,20
"Atlantic Union Bankshares, Inc.",20
FIRSTBANK,20
"Madison Auto, LLC",20
TomoCredit Inc.,20
Metro Collection Service Inc.,20
"Axela Technologies, Inc",20
Denefits LLC,20
Synovus Bank,20
Collection Attorneys USA LLC,20
"Receivable Management Group, Inc. (GA)",19
Holloway Credit Solutions,19
Great American Finance Co,19
"RMS-Recovery Management Services, Inc.",19
RENASANT CORPORATION,19
"Apelles, LLC",19
"FIRST HAWAIIAN, INC.",19
"Suttell, Hammer & White, P.S",19
Sunlight Financial LLC,19
BANK OF HAWAII CORPORATION,19
"BC SERVICES, INC.",19
Sequoia Financial Services,19
SIMMONS FIRST NATIONAL CORPORATION,19
"Credit Systems of the Fox Valley, Inc.",19
"Cornerstone Holdings, Inc.",19
"Investment Retrievers, Inc.",18
AES/PHEAA,18
"CMRE Financial Services, Inc.",18
Kohn Law Firm S.C.,18
Scott Fetzer Financial Group Inc.,18
"Bitstamp USA, Inc.",18
Ocwen Financial Corporation,18
"Grand Canyon Title, Agency, Inc.",18
"Fairway Capital Recovery, LLC",18
National Business Factors,18
Southern Auto Finance Co,18
NORTHWEST BANCSHARES INC,18
NATIONAL DEBT RELIEF LLC,18
Chime Inc.,18
CORELOGIC INC,18
"COLLECTIONS USA, INC.",18
"Tennessee Credit Management, Inc",18
Recuvery LLC,18
"Automated Collection Services, Inc.",18
"Zendable, Inc.",18
Reel Time Capital LLC,18
NBT BANCORP INC.,17
Professional Collectors Corp.,17
"Trustly, Inc.",17
HF Holdings,17
"Eagle Financial Services, Inc.",17
eToro USA LLC,17
Modern Adjustment Bureau,17
"Skopos Financial, LLC",17
MiraMed Revenue Group LLC,17
"RSI Enterprises, Inc.",17
"MST Financial Services, L.L.C.",17
Selene Holdings LLC,17
"Law Offices of Hayt, Hayt & Landau, LLC",17
"USCB, Inc.",17
"Pollack & Rosen, P.A.",17
"Blockchain.com, Inc.",17
"Bridge IT, Inc.",17
"Main Street Holdings, Inc.",16
FIRST MERCHANTS CORPORATION,16
"Cascade CISS Holdings, LLC",16
"UNITED BANKSHARES, INC.",16
Payfare International Inc.,16
"Green & Sons Agency, Inc.",16
"ALEXANDER-ROSE ASSOC, INC.",16
"Kansas Counselors, Inc.",16
CapitalJ Inc. dba Juno,16
"CARRINGTON MORTGAGE SERVICES, LLC",16
"Stillman, P.C. d.b.a. Stillman Law Office",16
"Tromberg, Miller, Morris & Partners, PLLC",16
"Credit Service Company, INC",16
Fidem Baltimore Holdings LLC,16
Incomm Holdings Inc.,16
"4M Collections, LLC",16
TOLEDO FINANCE CORPORATION,16
"Remex, Inc.",16
"Wilber and Associates, P.C.",15
"CHECKredi of Kentucky, LLC",15
Financial Assistance Inc,15
"PINNACLE RECOVERY, INC.",15
"All State Credit Bureau, Inc.",15
"Hayt Hayt & Landau, P.L. (FL)",15
"Open Dealer Exchange, LLC",15
Cars America Inc.,15
Account Resolution Corporation,15
"Arbor Professional Solutions, Inc.",15
"Andreu, Palma & Andreu, PL",15
FIRST FINANCIAL BANCORP,15
Mediation Recovery Center,15
FIRST COMMONWEALTH FINANCIAL CORPORATION,15
Eaton Group Attorneys LLC,15
"Elevate Recoveries, LLC",15
"N.A.R., Inc.",15
"BALANCED HEALTHCARE RECEIVABLES, LLC",15
"National Healthcare Collections, LLC",15
"NPAS, Inc.",15
"Simon's Agency, Inc.",15
"Happy Money, Inc.",15
DOLLAR MUTUAL BANCORP,15
Credit Recovery Systems LLC,15
Schreiber Law LLC,15
North American Credit Services,15
Law Offices of Timothy M. Sullivan,15
"COMMUNITY FINANCIAL SYSTEM, INC.",14
"Brian McCaffrey, Attorney At Law",14
OFG BANCORP,14
CIG FINANCIAL LLC,14
Louisiana Recovery Services Inc.,14
CATHAY BANK,14
"Collection Professionals, Inc. (Macomb, IL)",14
"Auto Now Financial Services, Inc., Phoenix, AZ Branch",14
"Augusta Collection Agency, Inc.",14
"D&A Services, LLC",14
"National Commercial Services, Inc",14
"HOPE BANCORP, INC.",14
WAFD BANK,14
"GFS II, LLC",14
Wolf River Development Company,14
LAKE MICHIGAN CREDIT UNION,14
IPAC'S Inc.,14
"Credit Counsel, Inc.",14
"Orions Management Group, LLC",14
UNIVERSAL ACCEPTANCE CORPORATION (NE),14
"Convergent Resources, Inc.",14
GREENSTATE CREDIT UNION,14
Global Trust Management LLC,13
"Alliance Collection Agencies, Inc.",13
Lien Enforcement Inc,13
United Credit and Collections Inc.,13
Action Collection Service,13
"CENTRAL BANCOMPANY, INC",13
Patenaude & Felix A Professional Corporation,13
Tate and Kirlin Assoc,13
"Auto Credit Corporation of Jonesboro, iNC.",13
Recovery Management Solutions LLC,13
"A.R.M. Solutions, Inc.",13
Collection Service of Nevada,13
HCFS Healthcare Financial Services of TeamHealth,13
"Total Card, Inc.",13
RockLoans Holdings LLC,13
"HOVG, LLC",13
"DLF Law Group, LLC",13
"Round Up Ventures, L.P.",13
"Debt Collectors International, Inc.",13
"States Recovery Systems, Inc.",13
"Ratchford Law Group, P.C.",13
Professional Collection Service Inc (GA),13
"Kelsting Group, Inc.",13
"Capital Mitigation Services, LLC",13
Credit International Corporation,13
"College Foundation, Inc.",13
"Brock & Scott, PLLC",13
Fidelity Properties Inc.,13
HoldCo LLC,12
D2 Management LLC,12
"Bepensa Capital, Inc.",12
"National Debt Holdings, LLC",12
"Independence Capital Recovery, LLC",12
"HEAD MERCANTILE CO., INC.",12
Arcon Credit Solutions LLC,12
Armada Corp.,12
"Merchants Credit Bureau, Inc.",12
The Aligned Company DBA Extra,12
"RSH & Associates, LLC",12
Sarma,12
"Braviant Holdings, LLC",12
"Loan South Finance & Tax Service of Troy, LLC",12
"Levy & Associates, LLC",12
Glacier Bancorp Inc.,12
U.S. Auto Credit Corporation,12
"Carvana Group, LLC",12
Omnipoint Capital,12
Schukei Chevrolet Volkswagen,12
Capital Collection Management LLC,12
Kora Financial,12
LCS FINANCIAL SERVICES CORPORATION,12
Orion Capital Solutions LLC,12
"Admin Recovery, LLC",12
Activehours,12
"GULF COAST COLLECTION BUREAU, INC.",12
Asset Recovery Bureau LLC,12
"Specialized Collection Systems, Inc.",12
"Tesla, Inc.",12
"AMCOL Systems, Inc.",11
"Palm Beach Credit Adjustors, Inc",11
"PLS GROUP, INC",11
"Genesys National Recovery, Inc.",11
"Weber & Olcese, PLC",11
"Galaxy Capital Acquisitions, LLC",11
INDEPENDENT BANK CORP.,11
"Real Time Group, Inc.",11
"LD Holdings Group, LLC",11
"Cash Time Title Loans, Inc.",11
"GB Collects, LLC",11
"Unisa, Inc",11
"Credits, Incorporated",11
SEACOAST BANKING CORPORATION OF FLORIDA,11
Transform Credit Inc.,11
Merchants' Credit Guide Company,11
"McNeil & Meyers Asset Management Group, LLC",11
"Med-1 Solutions, LLC",11
"Universal Account Servicing, LLC",11
"United Shore Financial Services, LLC",11
Texas Guaranteed,11
Time Investment Corporation,11
SECURITY CREDIT SYSTEMS INC,11
"Data and Contact Management Solutions, LLC",11
Faloni Law Group,11
"Figure Technologies, Inc",11
"Lyons, Doughty & Veldhuis, PC",11
"Designed Receivable Solutions, Inc.",11
"DSR HOLDINGS GROUP, LLC",11
"Coast to Coast Financial Solutions, Inc.",11
"Berman & Rabin, P.A.",11
Future Judgement Solutions,11
Fuel Capital Group,11
Betterment LLC,11
"TriVerity, Inc.",11
"STATE BANKSHARES, INC.",10
AAA Collections,10
GLOBAL SOLUTION BIZ LLC.,10
"Kornerstone Credit,  LLC.",10
Collection Bureau of Walla Walla,10
"SF VAGO, LLC",10
Prime Recovery LLC,10
"Action Collection Agencies, Inc.",10
"Adelante, Inc",10
"INTERNAL CREDIT SYSTEMS, INC",10
"Bilateral Credit Corp, LLC",10
"Bliksum, LLC",10
"OUT TECH, INC.",10
Green Square Company LLC.,10
Global Credit & Collection Corporation,10
"Brown and Joseph, Ltd",10
"Live Oak Financial, Inc",10
"Voss & Klein, LLC",10
"Cawley & Bergmann, LLP",10
RevNow LLC,10
"Credit Bureau of the South, Inc.",10
"PLANET HOME LENDING, LLC",10
"Advanced Recovery Systems, Inc.",10
Airtm Inc.,10
C/C Financial,10
"Consumer Financial Services Solutions, Inc.",10
"R.A.Rogers, Inc.",10
"R.M. Galicia, Inc.",10
"Love, Beal & Nixon, P.C.",10
Triton Recovery Group,10
"Alliance CAS, LLC",10
Longhorn Asset Management LLC,10
"Aldridge PIte Haan, LLP",10
"National Finance Company, Inc.",10
"Greeting Team, LLC DBA Customer Care Global",10
BANNER CORPORATION,10
"The Leviton Law Firm, Ltd.",10
Mnet Financial Inc,10
Driveway Finance Corporation,10
Merchants Acceptance Corp,10
"McCalla Raymer Leibert Pierce, LLC",10
Wave Financial USA Inc.,10
"Hatfield, Inc.",9
Ceannate,9
"TIDEWATER FINANCE COMPANY, INC.",9
"Elite Portfolio Management, LLC",9
Grow Credit Inc,9
